fullName,dataType,length
agentAddress,IpAddress,
agentDnsDomain,String,255
agentHostName,String,255
agentId,String,40
agentMacAddress,MacAddress,
agentNtDomain,String,255
agentReceiptTime,DateTime,
agentTimeZone,String,255
agentTranslatedAddress,IpAddress,
agentTranslatedZoneExternalId,String,200
agentTranslatedZoneKey,Long,
agentTranslatedZoneUri,String,2048
agentType,String,63
agentVersion,String,31
agentZoneExternalId,String,200
agentZoneKey,Long,
agentZoneURI,String,2048
applicationProtocol,String,40
baseEventCount,Integer,
bytesIn,Long,
bytesOut,Long,
categoryBehavior,String,1023
categoryDeviceGroup,String,1023
categoryDeviceType,String,1023
categoryObject,String,1023
categoryOutcome,String,1023
categorySignificance,String,1023
categoryTechnique,String,1023
cryptoSignature,String,512
customerExternalId,String,200
customerKey,Long,
customerURI,String,2048
destinationAddress,IpAddress,16
destinationDnsDomain,String,255
destinationGeoLatitude,Double,
destinationGeoLongitude,Double,
destinationHostName,String,255
destinationMacAddress,MacAddress,6
destinationNtDomain,String,255
destinationPort,Integer,
destinationProcessId,Integer,
destinationProcessName,String,1023
destinationServiceName,String,1023
destinationTranslatedAddress,IpAddress,16
destinationTranslatedPort,Integer,
destinationTranslatedZoneExternalId,String,200
destinationTranslatedZoneKey,Long,
destinationTranslatedZoneURI,String,2048
destinationUserId,String,1023
destinationUserName,String,1023
destinationUserPrivileges,String,1023
destinationZoneExternalID,String,200
destinationZoneKey,Long,
destinationZoneURI,String,2048
deviceAction,String,63
deviceAddress,IpAddress,16
deviceCustomDate1,DateTime,
deviceCustomDate1Label,String,1023
deviceCustomDate2,DateTime,
deviceCustomDate2Label,String,1023
deviceCustomFloatingPoint1,Double,
deviceCustomFloatingPoint1Label,String,1023
deviceCustomFloatingPoint2,Double,
deviceCustomFloatingPoint2Label,String,1023
deviceCustomFloatingPoint3,Double,
deviceCustomFloatingPoint3Label,String,1023
deviceCustomFloatingPoint4,Double,
deviceCustomFloatingPoint4Label,String,1023
deviceCustomIPv6Address1,IPv6 Address,16
deviceCustomIPv6Address1Label,String,1023
deviceCustomIPv6Address2,IPv6 Address,16
deviceCustomIPv6Address2Label,String,1023
deviceCustomIPv6Address3,IPv6 Address,16
deviceCustomIPv6Address3Label,String,1023
deviceCustomIPv6Address4,IpAddress,16
deviceCustomIPv6Address4Label,String,1023
deviceCustomNumber1,Long,
deviceCustomNumber1Label,String,1023
deviceCustomNumber2,Long,
deviceCustomNumber2Label,String,1023
deviceCustomNumber3,Long,
deviceCustomNumber3Label,String,1023
deviceCustomString1,String,4000
deviceCustomString1Label,String,1023
deviceCustomString2,String,4000
deviceCustomString2Label,String,1023
deviceCustomString3,String,4000
deviceCustomString3Label,String,1023
deviceCustomString4,String,4000
deviceCustomString4Label,String,1023
deviceCustomString5,String,4000
deviceCustomString5Label,String,1023
deviceCustomString6,String,4000
deviceCustomString6Label,String,1023
deviceDirection,DeviceDirectionEnumeration,
deviceDnsDomain,String,255
deviceDomain,String,255
deviceEventCategory,String,1023
deviceExternalId,String,255
deviceFacility,String,1023
deviceHostName,String,255
deviceInboundInterface,String,128
deviceMacAddress,MacAddress,6
deviceNtDomain,String,255
deviceOutboundInterface,String,128
devicePayloadId,String,128
deviceProcessId,Integer,
deviceProcessName,String,1023
deviceReceiptTime,DateTime,
deviceTimeZone,String,255
deviceTranslatedAddress,IpAddress,16
deviceTranslatedZoneExternalId,String,200
deviceTranslatedZoneKey,Long,
deviceTranslatedZoneURI,String,2048
deviceZoneExternalID,String,200
deviceZoneKey,Long,
deviceZoneURI,String,2048
endTime,DateTime,
eventId,Long,
eventOutcome,String,32
externalId,String,40
fileCreateTime,DateTime,
fileHash,String,255
fileId,String,1023
fileModificationTime,DateTime,
fileName,String,1023
filePath,String,1023
filePermission,String,1023
fileSize,Long,
fileType,String,1023
flexDate1,DateTime,
flexDate1Label,String,128
flexNumber1,Long or Integer?,
flexNumber1Label,String,128
flexNumber2,Long or Integer?,
flexNumber2Label,String,128
flexString1,String,1023
flexString1Label,String,128
flexString2,String,1023
flexString2Label,String,128
frameworkName,String,40
message,String,1023
oldFileCreateTime,DateTime,
oldFileHash,String,255
oldFileId,String,1023
oldFileModificationTime,DateTime,
oldFileName,String,1023
oldFilePath,String,1023
oldFilePermission,String,1023
oldFileSize,Long,
oldFileType,String,1023
rawEvent,String,16384
reason,String,256
reportedDuration,Long,
reportedResourceGroupName,String,128
reportedResourceId,String,256
reportedResourceName,String,64
reportedResourceType,String,64
requestClientApplication,String,1023
requestContext,String,2048
requestCookies,String,1023
requestMethod,String,128
requestUrl,String,2048
sourceAddress,IpAddress,16
sourceDnsDomain,String,255
sourceGeoLatitude,Double,
sourceGeoLongitude,Double,
sourceHostName,String,255
sourceMacAddress,MacAddress,6
sourceNtDomain,String,255
sourcePort,Integer,
sourceProcessId,Integer,
sourceProcessName,String,1023
sourceServiceName,String,1023
sourceTranslatedAddress,IpAddress,16
sourceTranslatedPort,Integer,
sourceTranslatedZoneExternalId,String,200
sourceTranslatedZoneKey,Long,
sourceTranslatedZoneUri,String,2048
sourceUserId,String,1023
sourceUserName,String,1023
sourceUserPrivileges,String,1023
sourceZoneExternalId,String,200
sourceZoneKey,Long,
sourceZoneUri,String,2048
startTime,DateTime,
threatActor,String,40
threatAttackID,String,32
transportProtocol,String,31
type,TypeEnumeration,
